tarehe_ya_data,month,season,begin_time,end_time,hours,lon,lat,region,district,kijiji,mwalo_bandari_diko,sehemu_aliyovua_locality,idadi_ya_wavuvi_chomboni,aina_ya_mtego,aina_ya_samaki,Groups,local_name,uzito,idadi,cpue,cpue.check
22/02/2020,2,NE,2020-02-22T08:15:00Z,2020-02-22T11:15:00Z,3,39.74852,-9.897517,Lindi,Lindi,Benki,Beach,Mwitingi,18,RN,Sardine,Sardines,NA,260,26,86.66666667,86.66666667
22/02/2020,2,NE,2020-02-22T08:48:00Z,2020-02-22T12:17:00Z,3.48,39.15817,-4.78464,Tanga,Mkinga,Zingibari,Petukiza,Fazili,21,RN,Sardine,Sardines,NA,400,20,114.8325359,114.9425287
22/02/2020,2,NE,2020-02-22T09:30:00Z,2020-02-22T12:00:00Z,2.5,40.39243,-10.27424,Mtwara,Mtwara Rural,Mnazi,Mnazi Bay,CHELO,21,RN,Coryphaena ssp,Tuna,NA,10,1,4,4
22/02/2020,2,NE,2020-02-22T18:32:00Z,2020-02-23T05:32:00Z,11,39.65139,-7.73504,Pwani,Mafia,Chunguruma,Tumbuju,Masemeni,13,RN,Dagaa,Anchovy,Dagaa mchele,60,3,5.454545455,5.454545455
22/02/2020,2,NE,2020-02-22T19:30:00Z,2020-02-23T04:02:00Z,8.53,38.95176,-5.9618,Unguja,Kaskazini A,Mkokotoni,Nungwi,MELIN,21,GN,Dussumieria acuta,Anchovy,NA,600,30,70.3125,70.33997655
22/02/2020,2,NE,2020-02-22T21:00:00Z,2020-02-23T06:00:00Z,9,39.16037,-4.77909,Tanga,Mkinga,Zingibari,Petukiza,Mwezi,15,RN,Scomberomorus plurilineatus,Tuna,NA,100,NA,11.11111111,11.11111111
22/02/2020,2,NE,2020-02-22T23:00:00Z,2020-02-23T05:00:00Z,6,39.43369,-8.41439,Lindi,Kilwa,Somanga,Mbuyuni,Machange,13,RN,Sardine,Sardines,NA,144,8,24,24
23/02/2020,2,NE,2020-02-23T00:15:00Z,2020-02-23T05:30:00Z,5.25,39.03612,-5.54535,Tanga,Pangani,Pangani Mashariki,Magarawani,Zinga,22,RN,Sardine,Sardines,NA,300,15,57.14285714,57.14285714
23/02/2020,2,NE,2020-02-23T01:30:00Z,2020-02-23T06:00:00Z,4.5,39.16037,-4.77909,Tanga,Mkinga,Zingibari,Petukiza,Mwez,17,RN,Auxis thazard,Tuna,NA,10,5,2.222222222,2.222222222
23/02/2020,2,NE,2020-02-23T06:00:00Z,2020-02-23T06:45:00Z,0.75,39.23549,-6.67928,Dar es Salaam,Kinondoni,Kunduchi Pwani,Kunduchi Pwani,Bongoyo,42,RN,Sardine,Sardines,NA,100,10,133.3333333,133.3333333
23/02/2020,2,NE,2020-02-23T06:40:00Z,2020-02-23T09:40:00Z,3,40.40085,-10.34656,Mtwara,Mtwara Urban,Shangani East,Feri,Msemo Merenium,20,RN,Auxis thazard,Tuna,NA,NA,NA,0,NA
23/02/2020,2,NE,2020-02-23T09:05:00Z,2020-02-23T11:02:00Z,1.95,40.37448,-10.31507,Mtwara,Mtwara Rural,Mnazi,Mnazi Bay,KITELELA,16,RN,Dussumieria acuta,Anchovy,NA,120,12,61.53846154,61.53846154
23/02/2020,2,NE,2020-02-23T11:00:00Z,2020-02-23T12:27:00Z,1.45,40.36393,-10.33822,Mtwara,Mtwara Rural,Mnazi,Mnazi Bay,"NANDISI",20,RN,Caranx tille,Caranx,NA,NA,NA,0,NA
23/02/2020,2,NE,2020-02-23T18:00:00Z,2020-02-24T02:00:00Z,8,39.22711,-4.73673,Tanga,Mkinga,Zingibari,Petukiza,K wamzungu,22,RN,Sardine,Sardines,NA,60,3,7.5,7.5
23/02/2020,2,NE,2020-02-23T19:29:00Z,2020-02-24T06:05:00Z,10.6,39.0942,-5.36518,Tanga,Muheza,Kigombe,Kigombe,Mwanaunguja,18,RN,Sardine,Sardines,NA,100,5,9.433962264,9.433962264
23/02/2020,2,NE,2020-02-23T19:45:00Z,2020-02-24T06:05:00Z,10.33,39.0942,-5.36518,Tanga,Muheza,Kigombe,Kigombe,Majivike,18,RN,Sardine,Sardines,NA,100,5,9.677419358,9.68054211
