date.d,date,level_mm
2014.7917,2014-10-16,7066
2014.8750,2014-11-16,7076
2014.9583,2014-12-16,7043
2015.0417,2015-01-16,7018
2015.1250,2015-02-15,7104
2015.2083,2015-03-18,7067
2015.2917,2015-04-17,7139
2015.3750,2015-05-17,7084
2015.4583,2015-06-17,7074
2015.5417,2015-07-17,7031
2015.6250,2015-08-17,7049
2015.7083,2015-09-16,7056
2015.7917,2015-10-16,7041
2015.8750,2015-11-16,7092
2015.9583,2015-12-16,7072
2016.0417,2016-01-16,7037
2016.1250,2016-02-15,7064
2016.2083,2016-03-17,7116
2016.2917,2016-04-16,7138
2016.3750,2016-05-17,7098
2016.4583,2016-06-16,7028
2016.5417,2016-07-17,7014
2016.6250,2016-08-16,7003
2016.7083,2016-09-16,6992
2016.7917,2016-10-16,7019
2016.8750,2016-11-16,7005
2016.9583,2016-12-16,6966
2017.0417,2017-01-16,7032
2017.1250,2017-02-15,6983
2017.2083,2017-03-18,7078
2017.2917,2017-04-17,7025
2017.3750,2017-05-17,7025
2017.4583,2017-06-17,7055
2017.5417,2017-07-17,6996
2017.6250,2017-08-17,7049
2017.7083,2017-09-16,7042
2017.7917,2017-10-16,7037
2017.8750,2017-11-16,7062
2017.9583,2017-12-16,7009
2018.0417,2018-01-16,7025
2018.1250,2018-02-15,7014
2018.2083,2018-03-18,7035
2018.2917,2018-04-17,7079
2018.3750,2018-05-17,7082
2018.4583,2018-06-17,7066
2018.5417,2018-07-17,7017
2018.6250,2018-08-17,7026
2018.7083,2018-09-16,7049
2018.7917,2018-10-16,7089
2018.8750,2018-11-16,7082
2018.9583,2018-12-16,7075
